,car_model,year_of_manufacture,price,fuel,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,'price,'fuel,Unnamed: 0
46,ertiga,2015,10820.9,Diesel,16.0,,,,,,,
47,ertiga,2016,11567.16,Diesel,17.0,,,,,,,
48,wagon r,2015,4850.75,CNG,18.0,,,,,,,
49,sx4,2010,3955.22,Petrol,19.0,,,,,,,
50,alto k10,2016,4253.73,Petrol,20.0,,,,,,,
51,ignis,2017,7313.43,Petrol,21.0,,,,,,,
52,sx4,2011,6567.16,Petrol,22.0,,,,,,,
53,alto k10,2014,3731.34,Petrol,23.0,,,,,,,
54,wagon r,2013,4328.36,Petrol,24.0,,,,,,,
55,swift,2011,4477.61,Petrol,25.0,,,,,,,
56,swift,2013,6194.03,Petrol,26.0,,,,,,,
57,swift,2017,8955.22,Petrol,27.0,,,,,,,
58,alto k10,2010,2910.45,Petrol,28.0,,,,,,,
59,ciaz,2015,11119.4,Diesel,29.0,,,,,,,
60,ritz,2014,5000.0,Petrol,30.0,0.0,,,,,,
61,sx4,2013,7089.55,Diesel,31.0,1.0,,,,,,
62,ciaz,2017,10820.9,Petrol,32.0,2.0,,,,,,
63,wagon r,2011,4253.73,Petrol,33.0,3.0,,,,,,
64,swift,2014,6865.67,Diesel,34.0,4.0,,,,,,
65,vitara brezza,2018,13805.97,Diesel,35.0,5.0,,,,,,
66,ciaz,2015,10074.63,Petrol,36.0,6.0,,,,,,
67,s cross,2015,9701.49,Diesel,37.0,7.0,,,,,,
68,ciaz,2016,13059.7,Diesel,38.0,8.0,,,,,,
69,ciaz,2015,11119.4,Diesel,39.0,9.0,,,,,,
70,alto 800,2017,4253.73,Petrol,40.0,10.0,,,,,,
71,ciaz,2015,10223.88,Diesel,41.0,11.0,,,,,,
72,ciaz,2015,11194.03,Petrol,42.0,12.0,,,,,,
73,ertiga,2015,9104.48,Petrol,43.0,13.0,,,,,,
74,dzire,2009,3358.21,Petrol,44.0,14.0,,,,,,
75,ertiga,2016,11567.16,Diesel,45.0,15.0,,,,,,
76,ertiga,2015,10820.9,Diesel,46.0,16.0,,,,,,
77,ertiga,2016,11567.16,Diesel,47.0,17.0,,,,,,
78,wagon r,2015,4850.75,CNG,48.0,18.0,,,,,,
79,sx4,2010,3955.22,Petrol,49.0,19.0,,,,,,
80,alto k10,2016,4253.73,Petrol,50.0,20.0,,,,,,
81,ignis,2017,7313.43,Petrol,51.0,21.0,,,,,,
82,sx4,2011,6567.16,Petrol,52.0,22.0,,,,,,
83,alto k10,2014,3731.34,Petrol,53.0,23.0,,,,,,
84,wagon r,2013,4328.36,Petrol,54.0,24.0,,,,,,
85,swift,2011,4477.61,Petrol,55.0,25.0,,,,,,
86,swift,2013,6194.03,Petrol,56.0,26.0,,,,,,
87,swift,2017,8955.22,Petrol,57.0,27.0,,,,,,
88,alto k10,2010,2910.45,Petrol,58.0,28.0,,,,,,
89,ciaz,2015,11119.4,Diesel,59.0,29.0,,,,,,
90,ritz,2014,5000.0,Petrol,60.0,30.0,0.0,,,,,
91,sx4,2013,7089.55,Diesel,61.0,31.0,1.0,,,,,
92,ciaz,2017,10820.9,Petrol,62.0,32.0,2.0,,,,,
93,wagon r,2011,4253.73,Petrol,63.0,33.0,3.0,,,,,
94,swift,2014,6865.67,Diesel,64.0,34.0,4.0,,,,,
95,vitara brezza,2018,13805.97,Diesel,65.0,35.0,5.0,,,,,
96,ciaz,2015,10074.63,Petrol,66.0,36.0,6.0,,,,,
97,s cross,2015,9701.49,Diesel,67.0,37.0,7.0,,,,,
98,ciaz,2016,13059.7,Diesel,68.0,38.0,8.0,,,,,
99,ciaz,2015,11119.4,Diesel,69.0,39.0,9.0,,,,,
100,alto 800,2017,4253.73,Petrol,70.0,40.0,10.0,,,,,
101,ciaz,2015,10223.88,Diesel,71.0,41.0,11.0,,,,,
102,ciaz,2015,11194.03,Petrol,72.0,42.0,12.0,,,,,
103,ertiga,2015,9104.48,Petrol,73.0,43.0,13.0,,,,,
104,dzire,2009,3358.21,Petrol,74.0,44.0,14.0,,,,,
105,ertiga,2016,11567.16,Diesel,75.0,45.0,15.0,,,,,
106,ertiga,2015,10820.9,Diesel,76.0,46.0,16.0,,,,,
107,ertiga,2016,11567.16,Diesel,77.0,47.0,17.0,,,,,
108,wagon r,2015,4850.75,CNG,78.0,48.0,18.0,,,,,
109,sx4,2010,3955.22,Petrol,79.0,49.0,19.0,,,,,
110,alto k10,2016,4253.73,Petrol,80.0,50.0,20.0,,,,,
111,ignis,2017,7313.43,Petrol,81.0,51.0,21.0,,,,,
112,sx4,2011,6567.16,Petrol,82.0,52.0,22.0,,,,,
113,alto k10,2014,3731.34,Petrol,83.0,53.0,23.0,,,,,
114,wagon r,2013,4328.36,Petrol,84.0,54.0,24.0,,,,,
115,swift,2011,4477.61,Petrol,85.0,55.0,25.0,,,,,
116,swift,2013,6194.03,Petrol,86.0,56.0,26.0,,,,,
117,swift,2017,8955.22,Petrol,87.0,57.0,27.0,,,,,
118,alto k10,2010,2910.45,Petrol,88.0,58.0,28.0,,,,,
119,ciaz,2015,11119.4,Diesel,89.0,59.0,29.0,,,,,
120,ritz,2014,5000.0,Petrol,90.0,60.0,30.0,0.0,,,,
121,sx4,2013,7089.55,Diesel,91.0,61.0,31.0,1.0,,,,
122,ciaz,2017,10820.9,Petrol,92.0,62.0,32.0,2.0,,,,
123,wagon r,2011,4253.73,Petrol,93.0,63.0,33.0,3.0,,,,
124,swift,2014,6865.67,Diesel,94.0,64.0,34.0,4.0,,,,
125,vitara brezza,2018,13805.97,Diesel,95.0,65.0,35.0,5.0,,,,
126,ciaz,2015,10074.63,Petrol,96.0,66.0,36.0,6.0,,,,
127,s cross,2015,9701.49,Diesel,97.0,67.0,37.0,7.0,,,,
128,ciaz,2016,13059.7,Diesel,98.0,68.0,38.0,8.0,,,,
129,ciaz,2015,11119.4,Diesel,99.0,69.0,39.0,9.0,,,,
130,alto 800,2017,4253.73,Petrol,100.0,70.0,40.0,10.0,,,,
131,ciaz,2015,10223.88,Diesel,101.0,71.0,41.0,11.0,,,,
132,ciaz,2015,11194.03,Petrol,102.0,72.0,42.0,12.0,,,,
133,ertiga,2015,9104.48,Petrol,103.0,73.0,43.0,13.0,,,,
134,dzire,2009,3358.21,Petrol,104.0,74.0,44.0,14.0,,,,
135,ertiga,2016,11567.16,Diesel,105.0,75.0,45.0,15.0,,,,
136,ertiga,2015,10820.9,Diesel,106.0,76.0,46.0,16.0,,,,
137,ertiga,2016,11567.16,Diesel,107.0,77.0,47.0,17.0,,,,
138,wagon r,2015,4850.75,CNG,108.0,78.0,48.0,18.0,,,,
139,sx4,2010,3955.22,Petrol,109.0,79.0,49.0,19.0,,,,
140,alto k10,2016,4253.73,Petrol,110.0,80.0,50.0,20.0,,,,
141,ignis,2017,7313.43,Petrol,111.0,81.0,51.0,21.0,,,,
142,sx4,2011,6567.16,Petrol,112.0,82.0,52.0,22.0,,,,
143,alto k10,2014,3731.34,Petrol,113.0,83.0,53.0,23.0,,,,
144,wagon r,2013,4328.36,Petrol,114.0,84.0,54.0,24.0,,,,
145,swift,2011,4477.61,Petrol,115.0,85.0,55.0,25.0,,,,
146,swift,2013,6194.03,Petrol,116.0,86.0,56.0,26.0,,,,
147,swift,2017,8955.22,Petrol,117.0,87.0,57.0,27.0,,,,
148,alto k10,2010,2910.45,Petrol,118.0,88.0,58.0,28.0,,,,
149,ciaz,2015,11119.4,Diesel,119.0,89.0,59.0,29.0,,,,
150,ritz,2014,5000.0,Petrol,120.0,90.0,60.0,30.0,0.0,,,
151,sx4,2013,7089.55,Diesel,121.0,91.0,61.0,31.0,1.0,,,
152,ciaz,2017,10820.9,Petrol,122.0,92.0,62.0,32.0,2.0,,,
153,wagon r,2011,4253.73,Petrol,123.0,93.0,63.0,33.0,3.0,,,
154,swift,2014,6865.67,Diesel,124.0,94.0,64.0,34.0,4.0,,,
155,vitara brezza,2018,13805.97,Diesel,125.0,95.0,65.0,35.0,5.0,,,
156,ciaz,2015,10074.63,Petrol,126.0,96.0,66.0,36.0,6.0,,,
157,s cross,2015,9701.49,Diesel,127.0,97.0,67.0,37.0,7.0,,,
158,ciaz,2016,13059.7,Diesel,128.0,98.0,68.0,38.0,8.0,,,
159,ciaz,2015,11119.4,Diesel,129.0,99.0,69.0,39.0,9.0,,,
160,alto 800,2017,4253.73,Petrol,130.0,100.0,70.0,40.0,10.0,,,
161,ciaz,2015,10223.88,Diesel,131.0,101.0,71.0,41.0,11.0,,,
162,ciaz,2015,11194.03,Petrol,132.0,102.0,72.0,42.0,12.0,,,
163,ertiga,2015,9104.48,Petrol,133.0,103.0,73.0,43.0,13.0,,,
164,dzire,2009,3358.21,Petrol,134.0,104.0,74.0,44.0,14.0,,,
165,ertiga,2016,11567.16,Diesel,135.0,105.0,75.0,45.0,15.0,,,
166,ertiga,2015,10820.9,Diesel,136.0,106.0,76.0,46.0,16.0,,,
167,ertiga,2016,11567.16,Diesel,137.0,107.0,77.0,47.0,17.0,,,
168,wagon r,2015,4850.75,CNG,138.0,108.0,78.0,48.0,18.0,,,
169,sx4,2010,3955.22,Petrol,139.0,109.0,79.0,49.0,19.0,,,
170,alto k10,2016,4253.73,Petrol,140.0,110.0,80.0,50.0,20.0,,,
171,ignis,2017,7313.43,Petrol,141.0,111.0,81.0,51.0,21.0,,,
172,sx4,2011,6567.16,Petrol,142.0,112.0,82.0,52.0,22.0,,,
173,alto k10,2014,3731.34,Petrol,143.0,113.0,83.0,53.0,23.0,,,
174,wagon r,2013,4328.36,Petrol,144.0,114.0,84.0,54.0,24.0,,,
175,swift,2011,4477.61,Petrol,145.0,115.0,85.0,55.0,25.0,,,
176,swift,2013,6194.03,Petrol,146.0,116.0,86.0,56.0,26.0,,,
177,swift,2017,8955.22,Petrol,147.0,117.0,87.0,57.0,27.0,,,
178,alto k10,2010,2910.45,Petrol,148.0,118.0,88.0,58.0,28.0,,,
179,ciaz,2015,11119.4,Diesel,149.0,119.0,89.0,59.0,29.0,,,
180,ritz,2014,5000.0,Petrol,150.0,120.0,90.0,60.0,30.0,,,0.0
181,sx4,2013,7089.55,Diesel,151.0,121.0,91.0,61.0,31.0,,,1.0
182,ciaz,2017,10820.9,Petrol,152.0,122.0,92.0,62.0,32.0,,,2.0
183,wagon r,2011,4253.73,Petrol,153.0,123.0,93.0,63.0,33.0,,,3.0
184,swift,2014,6865.67,Diesel,154.0,124.0,94.0,64.0,34.0,,,4.0
185,vitara brezza,2018,13805.97,Diesel,155.0,125.0,95.0,65.0,35.0,,,5.0
186,ciaz,2015,10074.63,Petrol,156.0,126.0,96.0,66.0,36.0,,,6.0
187,s cross,2015,9701.49,Diesel,157.0,127.0,97.0,67.0,37.0,,,7.0
188,ciaz,2016,13059.7,Diesel,158.0,128.0,98.0,68.0,38.0,,,8.0
189,ciaz,2015,11119.4,Diesel,159.0,129.0,99.0,69.0,39.0,,,9.0
190,alto 800,2017,4253.73,Petrol,160.0,130.0,100.0,70.0,40.0,,,10.0
191,ciaz,2015,10223.88,Diesel,161.0,131.0,101.0,71.0,41.0,,,11.0
192,ciaz,2015,11194.03,Petrol,162.0,132.0,102.0,72.0,42.0,,,12.0
193,ertiga,2015,9104.48,Petrol,163.0,133.0,103.0,73.0,43.0,,,13.0
194,dzire,2009,3358.21,Petrol,164.0,134.0,104.0,74.0,44.0,,,14.0
195,ertiga,2016,11567.16,Diesel,165.0,135.0,105.0,75.0,45.0,,,15.0
196,ertiga,2015,10820.9,Diesel,166.0,136.0,106.0,76.0,46.0,,,16.0
197,ertiga,2016,11567.16,Diesel,167.0,137.0,107.0,77.0,47.0,,,17.0
198,wagon r,2015,4850.75,CNG,168.0,138.0,108.0,78.0,48.0,,,18.0
199,sx4,2010,3955.22,Petrol,169.0,139.0,109.0,79.0,49.0,,,19.0
200,alto k10,2016,4253.73,Petrol,170.0,140.0,110.0,80.0,50.0,,,20.0
201,ignis,2017,7313.43,Petrol,171.0,141.0,111.0,81.0,51.0,,,21.0
202,sx4,2011,6567.16,Petrol,172.0,142.0,112.0,82.0,52.0,,,22.0
203,alto k10,2014,3731.34,Petrol,173.0,143.0,113.0,83.0,53.0,,,23.0
204,wagon r,2013,4328.36,Petrol,174.0,144.0,114.0,84.0,54.0,,,24.0
205,swift,2011,4477.61,Petrol,175.0,145.0,115.0,85.0,55.0,,,25.0
206,swift,2013,6194.03,Petrol,176.0,146.0,116.0,86.0,56.0,,,26.0
207,swift,2017,8955.22,Petrol,177.0,147.0,117.0,87.0,57.0,,,27.0
208,alto k10,2010,2910.45,Petrol,178.0,148.0,118.0,88.0,58.0,,,28.0
209,ciaz,2015,11119.4,Diesel,179.0,149.0,119.0,89.0,59.0,,,29.0
210,ritz,2012,4626.87,Diesel,180.0,150.0,120.0,90.0,60.0,,,30.0
211,ritz,2011,3507.46,Petrol,181.0,151.0,121.0,91.0,61.0,,,31.0
212,swift,2014,7388.06,Diesel,182.0,152.0,122.0,92.0,62.0,,,32.0
213,ertiga,2014,8955.22,Diesel,183.0,153.0,123.0,93.0,63.0,,,33.0
214,dzire,2014,8208.96,Diesel,184.0,154.0,124.0,94.0,64.0,,,34.0
215,sx4,2011,4402.99,CNG,185.0,155.0,125.0,95.0,65.0,,,35.0
216,dzire,2015,6940.3,Petrol,186.0,156.0,126.0,96.0,66.0,,,36.0
217,800,2003,522.39,Petrol,187.0,157.0,127.0,97.0,67.0,,,37.0
218,alto k10,2016,4477.61,Petrol,188.0,158.0,128.0,98.0,68.0,,,38.0
219,sx4,2003,3358.21,Petrol,189.0,159.0,129.0,99.0,69.0,,,39.0
220,fortuner,2012,22238.81,Diesel,190.0,160.0,130.0,100.0,70.0,,,40.0
221,fortuner,2015,34328.36,Diesel,191.0,161.0,131.0,101.0,71.0,,,41.0
222,innova,2017,26865.67,Diesel,192.0,162.0,132.0,102.0,72.0,,,42.0
223,fortuner,2013,23880.6,Diesel,193.0,163.0,133.0,103.0,73.0,,,43.0
224,innova,2005,4104.48,Petrol,194.0,164.0,134.0,104.0,74.0,,,44.0
225,corolla altis,2009,5373.13,Petrol,195.0,165.0,135.0,105.0,75.0,,,45.0
226,etios cross,2015,6716.42,Petrol,196.0,166.0,136.0,106.0,76.0,,,46.0
227,corolla altis,2010,7089.55,Petrol,197.0,167.0,137.0,107.0,77.0,,,47.0
228,etios g,2014,6119.4,Petrol,198.0,168.0,138.0,108.0,78.0,,,48.0
229,fortuner,2014,29835.82,Diesel,199.0,169.0,139.0,109.0,79.0,,,49.0
230,baleno,2016,8731.34,Petrol,200.0,170.0,140.0,110.0,80.0,,,50.0
231,alto k10,2014,3805.97,Petrol,201.0,171.0,141.0,111.0,81.0,,,51.0
232,sx4,2008,2910.45,Petrol,202.0,172.0,142.0,112.0,82.0,,,52.0
233,dzire,2014,8208.96,Diesel,203.0,173.0,143.0,113.0,83.0,,,53.0
234,omni,2012,1865.67,Petrol,204.0,174.0,144.0,114.0,84.0,,,54.0
235,ciaz,2014,11194.03,Petrol,205.0,175.0,145.0,115.0,85.0,,,55.0
236,ritz,2013,3955.22,Petrol,206.0,176.0,146.0,116.0,86.0,,,56.0
237,wagon r,2006,1567.16,Petrol,207.0,177.0,147.0,117.0,87.0,,,57.0
238,ertiga,2015,8656.72,Petrol,208.0,178.0,148.0,118.0,88.0,,,58.0
239,ciaz,2017,11567.16,Petrol,209.0,179.0,149.0,119.0,89.0,,,59.0
240,corolla altis,2016,21985.07,Diesel,210.0,180.0,150.0,120.0,90.0,,,60.0
241,etios gd,2015,7089.55,Diesel,211.0,181.0,151.0,121.0,91.0,,,61.0
242,innova,2017,34328.36,Diesel,212.0,182.0,152.0,122.0,92.0,,,62.0
243,innova,2015,18656.72,Diesel,213.0,183.0,153.0,123.0,93.0,,,63.0
244,innova,2005,5208.96,Diesel,214.0,184.0,154.0,124.0,94.0,,,64.0
245,camry,2006,3731.34,Petrol,215.0,185.0,155.0,125.0,95.0,,,65.0
246,land cruiser,2010,52238.81,Diesel,216.0,186.0,156.0,126.0,96.0,,,66.0
247,corolla altis,2012,8805.97,Petrol,217.0,187.0,157.0,127.0,97.0,,,67.0
248,etios liva,2013,5149.25,Petrol,218.0,188.0,158.0,128.0,98.0,,,68.0
249,etios g,2014,7089.55,Petrol,219.0,189.0,159.0,129.0,99.0,,,69.0
250,etios liva,2014,5895.52,Diesel,220.0,190.0,160.0,130.0,100.0,,,70.0
251,corolla altis,2011,6716.42,Diesel,221.0,191.0,161.0,131.0,101.0,,,71.0
252,corolla altis,2013,11119.4,Petrol,222.0,192.0,162.0,132.0,102.0,,,72.0
253,etios liva,2011,3955.22,Petrol,223.0,193.0,163.0,133.0,103.0,,,73.0
254,etios cross,2014,7313.43,Diesel,224.0,194.0,164.0,134.0,104.0,,,74.0
255,etios g,2015,5895.52,Petrol,225.0,195.0,165.0,135.0,105.0,,,75.0
256,corolla altis,2013,8208.96,Petrol,226.0,196.0,166.0,136.0,106.0,,,76.0
257,corolla,2004,2238.81,Petrol,227.0,197.0,167.0,137.0,107.0,,,77.0
258,corolla altis,2010,7835.82,Petrol,228.0,198.0,168.0,138.0,108.0,,,78.0
259,fortuner,2012,21641.79,Diesel,229.0,199.0,169.0,139.0,109.0,,,79.0
260,corolla altis,2013,10373.13,Petrol,230.0,200.0,170.0,140.0,110.0,,,80.0
261,etios cross,2015,6716.42,Petrol,231.0,201.0,171.0,141.0,111.0,,,81.0
262,fortuner,2014,27985.07,Diesel,232.0,202.0,172.0,142.0,112.0,,,82.0
263,fortuner,2015,35074.63,Diesel,233.0,203.0,173.0,143.0,113.0,,,83.0
264,fortuner,2017,49253.73,Diesel,234.0,204.0,174.0,144.0,114.0,,,84.0
265,etios liva,2014,7089.55,Diesel,235.0,205.0,175.0,145.0,115.0,,,85.0
266,innova,2017,29477.61,Petrol,236.0,206.0,176.0,146.0,116.0,,,86.0
267,fortuner,2010,13805.97,Diesel,237.0,207.0,177.0,147.0,117.0,,,87.0
268,corolla altis,2011,6492.54,Petrol,238.0,208.0,178.0,148.0,118.0,,,88.0
269,corolla altis,2016,21268.66,Petrol,239.0,209.0,179.0,149.0,119.0,,,89.0
270,ritz,2012,4626.87,Diesel,240.0,210.0,180.0,150.0,120.0,,,
271,ritz,2011,3507.46,Petrol,241.0,211.0,181.0,151.0,121.0,,,
272,swift,2014,7388.06,Diesel,242.0,212.0,182.0,152.0,122.0,,,
273,ertiga,2014,8955.22,Diesel,243.0,213.0,183.0,153.0,123.0,,,
274,dzire,2014,8208.96,Diesel,244.0,214.0,184.0,154.0,124.0,,,
275,sx4,2011,4402.99,CNG,245.0,215.0,185.0,155.0,125.0,,,
276,dzire,2015,6940.3,Petrol,246.0,216.0,186.0,156.0,126.0,,,
277,800,2003,522.39,Petrol,247.0,217.0,187.0,157.0,127.0,,,
278,alto k10,2016,4477.61,Petrol,248.0,218.0,188.0,158.0,128.0,,,
279,sx4,2003,3358.21,Petrol,249.0,219.0,189.0,159.0,129.0,,,
280,fortuner,2012,22238.81,Diesel,250.0,220.0,190.0,160.0,130.0,,,
281,fortuner,2015,34328.36,Diesel,251.0,221.0,191.0,161.0,131.0,,,
282,innova,2017,26865.67,Diesel,252.0,222.0,192.0,162.0,132.0,,,
283,fortuner,2013,23880.6,Diesel,253.0,223.0,193.0,163.0,133.0,,,
284,innova,2005,4104.48,Petrol,254.0,224.0,194.0,164.0,134.0,,,
285,corolla altis,2009,5373.13,Petrol,255.0,225.0,195.0,165.0,135.0,,,
286,etios cross,2015,6716.42,Petrol,256.0,226.0,196.0,166.0,136.0,,,
287,corolla altis,2010,7089.55,Petrol,257.0,227.0,197.0,167.0,137.0,,,
288,etios g,2014,6119.4,Petrol,258.0,228.0,198.0,168.0,138.0,,,
289,fortuner,2014,29835.82,Diesel,259.0,229.0,199.0,169.0,139.0,,,
290,baleno,2016,8731.34,Petrol,260.0,230.0,200.0,170.0,140.0,,,
291,alto k10,2014,3805.97,Petrol,261.0,231.0,201.0,171.0,141.0,,,
292,sx4,2008,2910.45,Petrol,262.0,232.0,202.0,172.0,142.0,,,
293,dzire,2014,8208.96,Diesel,263.0,233.0,203.0,173.0,143.0,,,
294,omni,2012,1865.67,Petrol,264.0,234.0,204.0,174.0,144.0,,,
295,ciaz,2014,11194.03,Petrol,265.0,235.0,205.0,175.0,145.0,,,
296,ritz,2013,3955.22,Petrol,266.0,236.0,206.0,176.0,146.0,,,
297,wagon r,2006,1567.16,Petrol,267.0,237.0,207.0,177.0,147.0,,,
298,ertiga,2015,8656.72,Petrol,268.0,238.0,208.0,178.0,148.0,,,
299,ciaz,2017,11567.16,Petrol,269.0,239.0,209.0,179.0,149.0,,,
300,corolla altis,2016,21985.07,Diesel,270.0,240.0,210.0,180.0,150.0,,,
301,etios gd,2015,7089.55,Diesel,271.0,241.0,211.0,181.0,151.0,,,
302,innova,2017,34328.36,Diesel,272.0,242.0,212.0,182.0,152.0,,,
303,innova,2015,18656.72,Diesel,273.0,243.0,213.0,183.0,153.0,,,
304,innova,2005,5208.96,Diesel,274.0,244.0,214.0,184.0,154.0,,,
305,camry,2006,3731.34,Petrol,275.0,245.0,215.0,185.0,155.0,,,
306,land cruiser,2010,52238.81,Diesel,276.0,246.0,216.0,186.0,156.0,,,
307,corolla altis,2012,8805.97,Petrol,277.0,247.0,217.0,187.0,157.0,,,
308,etios liva,2013,5149.25,Petrol,278.0,248.0,218.0,188.0,158.0,,,
309,etios g,2014,7089.55,Petrol,279.0,249.0,219.0,189.0,159.0,,,
310,etios liva,2014,5895.52,Diesel,280.0,250.0,220.0,190.0,160.0,,,
311,corolla altis,2011,6716.42,Diesel,281.0,251.0,221.0,191.0,161.0,,,
312,corolla altis,2013,11119.4,Petrol,282.0,252.0,222.0,192.0,162.0,,,
313,etios liva,2011,3955.22,Petrol,283.0,253.0,223.0,193.0,163.0,,,
314,etios cross,2014,7313.43,Diesel,284.0,254.0,224.0,194.0,164.0,,,
315,etios g,2015,5895.52,Petrol,285.0,255.0,225.0,195.0,165.0,,,
316,corolla altis,2013,8208.96,Petrol,286.0,256.0,226.0,196.0,166.0,,,
317,corolla,2004,2238.81,Petrol,287.0,257.0,227.0,197.0,167.0,,,
318,corolla altis,2010,7835.82,Petrol,288.0,258.0,228.0,198.0,168.0,,,
319,fortuner,2012,21641.79,Diesel,289.0,259.0,229.0,199.0,169.0,,,
320,corolla altis,2013,10373.13,Petrol,290.0,260.0,230.0,200.0,170.0,,,
321,etios cross,2015,6716.42,Petrol,291.0,261.0,231.0,201.0,171.0,,,
322,fortuner,2014,27985.07,Diesel,292.0,262.0,232.0,202.0,172.0,,,
323,fortuner,2015,35074.63,Diesel,293.0,263.0,233.0,203.0,173.0,,,
324,fortuner,2017,49253.73,Diesel,294.0,264.0,234.0,204.0,174.0,,,
325,etios liva,2014,7089.55,Diesel,295.0,265.0,235.0,205.0,175.0,,,
326,innova,2017,29477.61,Petrol,296.0,266.0,236.0,206.0,176.0,,,
327,fortuner,2010,13805.97,Diesel,297.0,267.0,237.0,207.0,177.0,,,
328,corolla altis,2011,6492.54,Petrol,298.0,268.0,238.0,208.0,178.0,,,
329,corolla altis,2016,21268.66,Petrol,299.0,269.0,239.0,209.0,179.0,,,
330,ritz,2012,4626.87,Diesel,300.0,270.0,240.0,210.0,,,,
331,ritz,2011,3507.46,Petrol,301.0,271.0,241.0,211.0,,,,
332,swift,2014,7388.06,Diesel,302.0,272.0,242.0,212.0,,,,
333,ertiga,2014,8955.22,Diesel,303.0,273.0,243.0,213.0,,,,
334,dzire,2014,8208.96,Diesel,304.0,274.0,244.0,214.0,,,,
335,sx4,2011,4402.99,CNG,305.0,275.0,245.0,215.0,,,,
336,dzire,2015,6940.3,Petrol,306.0,276.0,246.0,216.0,,,,
337,800,2003,522.39,Petrol,307.0,277.0,247.0,217.0,,,,
338,alto k10,2016,4477.61,Petrol,308.0,278.0,248.0,218.0,,,,
339,sx4,2003,3358.21,Petrol,309.0,279.0,249.0,219.0,,,,
340,fortuner,2012,22238.81,Diesel,310.0,280.0,250.0,220.0,,,,
341,fortuner,2015,34328.36,Diesel,311.0,281.0,251.0,221.0,,,,
342,innova,2017,26865.67,Diesel,312.0,282.0,252.0,222.0,,,,
343,fortuner,2013,23880.6,Diesel,313.0,283.0,253.0,223.0,,,,
344,innova,2005,4104.48,Petrol,314.0,284.0,254.0,224.0,,,,
345,corolla altis,2009,5373.13,Petrol,315.0,285.0,255.0,225.0,,,,
346,etios cross,2015,6716.42,Petrol,316.0,286.0,256.0,226.0,,,,
347,corolla altis,2010,7089.55,Petrol,317.0,287.0,257.0,227.0,,,,
348,etios g,2014,6119.4,Petrol,318.0,288.0,258.0,228.0,,,,
349,fortuner,2014,29835.82,Diesel,319.0,289.0,259.0,229.0,,,,
350,baleno,2016,8731.34,Petrol,320.0,290.0,260.0,230.0,,,,
